,Heave_Gain_Active,UR,UR_Duty_Cycle,UR_Cyl1_Vel,UR_Cyl2_Vel,UR_Cyl3_Vel,UR_Cyl1_Amp,UR_Cyl2_Amp,UR_Cyl3_Amp,UR_Duty_Cycle_Heave,UR_Data_Mean,,,,,,,,,,,,,,
0,0.00%,26%,26%,17%,18%,11%,11%,11%,7%,25%,22%,,,,,,,,,,,,,,
1,0.00%,26%,26%,17%,18%,11%,12%,12%,8%,26%,22%,,,,,,,,,,,,,,
2,0.01%,57%,57%,42%,36%,25%,27%,24%,17%,56%,47%,,,,,,,,,,,,,,
3,0.00%,14%,14%,9%,11%,6%,6%,7%,4%,14%,14%,,,,,,,,,,,,,,
4,0.00%,26%,26%,17%,17%,12%,12%,12%,8%,27%,23%,,,,,,,,,,,,,,
5,0.02%,55%,55%,36%,30%,30%,30%,26%,25%,54%,48%,,,,,,,,,,,,,,
6,0.10%,59%,59%,41%,32%,31%,38%,33%,26%,58%,53%,,,,,,,,,,,,,,
7,0.02%,72%,72%,48%,38%,39%,39%,33%,36%,73%,64%,,,,,,,,,,,,,,
8,0.02%,67%,67%,45%,36%,36%,35%,29%,28%,66%,58%,,,,,,,,,,,,,,
9,0.38%,68%,68%,44%,36%,38%,38%,34%,35%,77%,61%,,,,,,,,,,,,,,
10,0.01%,39%,39%,28%,20%,21%,30%,24%,25%,44%,38%,,,,,,,,,,,,,,
11,0.00%,53%,53%,37%,28%,28%,36%,30%,35%,60%,49%,,,,,,,,,,,,,,
12,0.13%,51%,51%,35%,27%,28%,39%,33%,31%,56%,49%,,,,,,,,,,,,,,
13,0.08%,49%,49%,34%,25%,26%,32%,26%,29%,54%,45%,,,,,,,,,,,,,,
14,0.36%,46%,46%,33%,24%,24%,41%,37%,32%,50%,51%,,,,,,,,,,,,,,
15,0.07%,44%,44%,30%,24%,24%,33%,33%,34%,50%,44%,,,,,,,,,,,,,,
16,0.07%,45%,45%,31%,23%,24%,29%,25%,27%,49%,41%,,,,,,,,,,,,,,
17,0.49%,49%,49%,34%,26%,26%,41%,37%,30%,54%,52%,,,,,,,,,,,,,,
18,0.19%,42%,31%,22%,17%,16%,42%,40%,30%,33%,49%,,,,,,,,,,,,,,
19,0.00%,26%,26%,18%,14%,13%,17%,14%,13%,28%,24%,,,,,,,,,,,,,,
20,0.01%,26%,26%,18%,13%,14%,17%,13%,13%,28%,23%,,,,,,,,,,,,,,
21,0.06%,36%,36%,25%,18%,19%,30%,27%,28%,40%,36%,,,,,,,,,,,,,,
22,0.02%,25%,25%,17%,12%,13%,16%,13%,15%,28%,24%,,,,,,,,,,,,,,
23,0.01%,29%,29%,20%,15%,16%,22%,21%,24%,31%,29%,,,,,,,,,,,,,,
24,0.03%,42%,42%,31%,21%,22%,29%,23%,22%,46%,40%,,,,,,,,,,,,,,
25,0.00%,44%,44%,32%,21%,25%,26%,18%,24%,50%,39%,,,,,,,,,,,,,,
26,0.02%,33%,33%,24%,16%,18%,26%,22%,21%,36%,37%,,,,,,,,,,,,,,
27,0.02%,35%,35%,25%,16%,20%,27%,21%,35%,39%,39%,,,,,,,,,,,,,,
28,0.35%,38%,31%,24%,14%,17%,29%,24%,38%,35%,39%,,,,,,,,,,,,,,
29,0.02%,40%,40%,29%,20%,22%,28%,24%,29%,44%,39%,,,,,,,,,,,,,,
30,0.33%,59%,59%,42%,29%,33%,37%,28%,34%,66%,53%,,,,,,,,,,,,,,
31,0.31%,57%,57%,41%,27%,31%,38%,29%,32%,63%,52%,,,,,,,,,,,,,,
